timestamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,linear_vel_x,linear_vel_y,angular_vel_z
35.557,0.031709866155513904,0.0007649497372117352,0.0749999989853915,-1.2395474349636194e-07,6.738326966673665e-10,0.00014706458931133665,0.9999999891859956,0.0014045547197694386,2.958248718524881e-05,0.00010073622969531751
35.577,0.0317195091045212,0.0007652225926477506,0.07499999974676029,-9.613743501223675e-08,9.118156158331985e-11,0.00014731884010373244,0.9999999891485751,-1.01133321171651e-05,6.862366860018864e-07,-3.31349345911487e-06
35.597,0.03174581794845898,0.0007655642678886655,0.07499999757443596,-4.3525302784234055e-08,4.345151641002574e-09,0.00014783071585757913,0.9999999890730389,9.330499542039688e-05,6.741687845236107e-05,-0.00013269630744870925
35.617,0.03176605371755861,0.0007662114999848181,0.07499999965572146,-5.805681558205345e-08,-1.5806427017145367e-11,0.00014762590761293042,0.999999989103294,0.001549313320116165,-4.813247551351674e-05,0.0005010457326880635
35.637,0.0317751218734634,0.000766606049670409,0.07499447628549971,6.969617036757125e-09,-1.3808770015827765e-05,0.00014751911042928682,0.999999989023715,0.002643872381872939,4.417059744475839e-05,-5.715885144394788e-05
35.658,0.03179895938481604,0.0007669642134613679,0.0749999998202445,-7.021839789300878e-08,9.262991100328704e-11,0.00014790344786923056,0.9999999890622827,7.280442561443581e-05,5.9063081346279336e-05,-0.00019364267372628415
35.677,0.03182188364015934,0.0007673872335996949,0.07499999964837138,2.3625601342346283e-08,-8.510339372085351e-12,0.00014839041763566518,0.9999999889901416,0.0013538790062541729,-7.854659539513241e-05,0.0007843632475891225
35.697,0.03183111701452956,0.000767942496698469,0.07499946066760858,-1.0566149279006116e-07,-1.34773469808404e-06,0.00014780920986802036,0.999999989075305,0.003316692761629492,-7.5547481776735475e-06,-0.00026165364124868613
35.717,0.03185198633692311,0.0007682734074760337,0.0749999997334921,-1.0153299400861788e-07,-6.245361202072923e-12,0.0001480332607174588,0.9999999890430716,1.8478489831278296e-05,9.932932275567406e-06,-7.292717619706844e-05
35.737,0.03187663780642413,0.0007686432155469457,0.07499999702908708,-5.6250692326786846e-08,-6.775693177438501e-10,0.00014871100146115183,0.9999999889425175,0.0005303957490257438,3.3747462646140244e-05,-0.00011042909682971728
35.757,0.03188904040582823,0.0007693275032043473,0.07499504026626465,-1.160172295237729e-07,-1.2398812467351647e-05,0.0001478392708300486,0.999999988994903,0.003766265601685938,4.9599634096560934e-05,-0.00024258020915181948
35.777,0.03190496430882014,0.0007696672015599444,0.07499999974233588,-1.5617388062710106e-08,4.854883648808186e-11,0.00014822460100579428,0.9999999890147336,1.8952459749629428e-07,4.7923414244276205e-05,-4.418166551178924e-05
35.797,0.031930578711095704,0.0007699963813572808,0.07499999977484481,-7.909313642521554e-08,6.116288557370669e-11,0.0001487488222056125,0.9999999889368909,0.00046212203977853277,4.3605954171535735e-05,-0.0002730829977624032
35.817,0.0319468694434183,0.0007707046342849321,0.07499941914864545,-1.4596788432020614e-07,-1.4515336589369122e-06,0.00014807100908277728,0.9999999890364241,0.003781774232039324,4.457590296723884e-05,-2.0519406232938806e-05
35.837,0.0319579270131956,0.0007710068059168461,0.07499999968870326,4.993014242996957e-08,4.096840622126181e-11,0.00014837732405208927,0.9999999889920836,-1.3678203901807795e-05,6.526794746790246e-06,-0.00013336187095489235
35.857,0.03198413245802238,0.0007712817539013484,0.07499999968985886,-1.0850995797046674e-07,3.9537928498252535e-13,0.00014895394093197316,0.9999999889063558,0.00024093067359996892,5.3102144430840184e-06,-0.00024222186094544263
35.877,0.03200291218490734,0.0007720441419267513,0.07499999975627201,-1.3603858049685457e-07,5.915346839103965e-11,0.00014843227084445818,0.9999999889839213,0.0016587341851872033,2.343959758622038e-05,0.00015196878224700105
35.897,0.03201088580392257,0.0007723460628675579,0.07499999772905427,-2.9258373885618077e-08,5.691133036014029e-09,0.00014860462388542427,0.9999999889583325,-1.0586072640341843e-05,5.300285527210276e-05,-1.1919491286865148e-05
35.917,0.03203729437638149,0.0007726901386430614,0.07499999974233824,-2.5039185499825648e-08,4.736723362015199e-11,0.00014905723720689472,0.9999999888909696,8.914415619693464e-05,5.533208616376784e-05,-0.0001305676065679806
35.937,0.032058937527059454,0.0007732504159234247,0.0749999997636881,-1.246444357442733e-07,4.7054816587268634e-11,0.0001490552344743082,0.9999999888912607,0.0014965047103677003,-3.2087851676624034e-05,0.00027498706419815024
35.957,0.03206620810237082,0.0007737341097679758,0.07499999881655409,-8.233663540146796e-08,5.622961758400803e-09,0.00014899708244762996,0.9999999888999314,0.0005798692212916615,-2.2284036986001578e-06,-0.00022298303599153013
35.977,0.03209037564218121,0.0007740485351393535,0.074999999654034,4.397102277045852e-08,-2.6511574492981867e-10,0.00014912681542282306,0.9999999888805955,2.8969872829732606e-05,1.3717965498299536e-05,-0.00013713622953558512
35.997,0.032114515199766054,0.0007743944150371809,0.07499999967332276,-1.375276073087457e-07,-1.4939586318168918e-11,0.0001498233438053333,0.9999999887764733,0.0012442569367447736,-6.383421728736555e-05,0.00028192958760397247
36.017,0.032123681930816335,0.000775061905658337,0.07499999961369466,-1.0371549261591184e-07,5.682430368626487e-09,0.00014901771652868959,0.9999999888968546,0.0011776394800835524,4.8397904663821846e-05,-0.00016700346887666253
36.038,0.032143371907679276,0.0007754044115320154,0.07499999771983956,-3.51363575690472e-08,5.477906227375904e-09,0.00014930388974435772,0.9999999888541737,-1.6946300282566714e-06,6.0326874935390636e-05,-4.287473728393466e-05
36.057,0.03216852437576111,0.000775737809501721,0.07499999974233848,-1.9275492333812273e-08,4.9242645716912375e-11,0.00014994260349910358,0.9999999887586077,0.0004992944058664973,2.372007695215398e-05,-0.00012102401414941661
36.078,0.03218149545130833,0.0007764441320411183,0.07500000006774477,-1.2333715509040904e-07,1.8619651160659014e-08,0.0001491385325677685,0.9999999888788413,0.0010677196011031709,4.5570276135402995e-05,1.4176158799797e-05
36.097,0.03219634846098439,0.0007767854837983782,0.0749999998240333,-6.445593342242613e-08,-1.3575203289843559e-10,0.00014950130962502694,0.9999999888246771,-3.109694270828724e-06,4.75309358227684e-05,-3.0963923362232e-05
36.117,0.032222299300383415,0.0007770616085964662,0.07499999964656871,4.042459011880388e-08,-7.219907938460047e-12,0.00015013241368014527,0.9999999887301284,0.00033331887043017535,-5.677240994737325e-06,0.00018265527528892554
36.137,0.03223966122010077,0.0007778054812170388,0.0749999989853934,-1.2395619380424424e-07,6.735311261367513e-10,0.00014941365866852566,0.9999999888377716,0.001404555327053723,2.9579860619291926e-05,0.00010074391855619443
36.158,0.03224930416711467,0.0007780783317994424,0.07499999974676036,-9.61374285168767e-08,9.095573297430734e-11,0.00014966799309684684,0.9999999887997414,-1.0113398253370882e-05,6.863346635655579e-07,-3.313378386453924e-06
36.177,0.03227561300936403,0.0007784200835296976,0.07499999757442805,-4.352536723027391e-08,4.345076629005179e-09,0.00015017998165512772,0.9999999887229857,9.330449670336534e-05,6.741555290191603e-05,-0.00013269127751463299
36.197,0.03229584876798285,0.0007790674030896806,0.0749999996557125,-5.805871319848337e-08,-1.5950523603404755e-11,0.0001499752232843903,0.9999999887537144,0.0015493117169922482,-4.8136478430585637e-05,0.0005010612230586931
